"id","word","type","translation_fr","example_1_en","example_1_fr","example_2_en","example_2_fr","example_3_en","example_3_fr","scramble_easy_sentence","scramble_easy_words","scramble_medium_sentence","scramble_medium_words","scramble_hard_sentence","scramble_hard_words"
"55","aisle","noun","allée","The customer walked down the aisle to find the cereal.","Le client a traversé l'allée pour trouver le céréale.","During the flight, passengers were directed to the emergency exit aisle.","Pendant le vol, les passagers ont été dirigés vers l'allée de sortie d'urgence.","The office layout includes a central aisle for easy access to all departments.","La disposition du bureau comprend une allée centrale pour un accès facile à tous les départements.","Employees must keep the aisle clean.","Employees / must / keep / the / aisle / clean","The new store layout features a wide aisle between the electronics and clothing sections.","The / new / store / layout / features / a / wide / aisle / between / the / electronics / and / clothing / sections","During the annual audit, the auditor inspected each aisle for compliance with safety regulations and documentation.","During / the / annual / audit / , / the / auditor / inspected / each / aisle / for / compliance / with / safety / regulations / and / documentation"
"58","alarm","noun","alarme","The alarm went off at 6 a.m., waking everyone up.","L'alarme s'est déclenchée à 6 h, réveillant tout le monde.","Please set the alarm for your meeting tomorrow.","Veuillez régler l'alarme pour votre réunion demain.","She checked the alarm system before leaving the office.","Elle a vérifié le système d'alarme avant de quitter le bureau.","The alarm rang loudly at noon.","The / alarm / rang / loudly / at / noon.","He turned off the alarm after confirming the safety check was complete.","He / turned / off / the / alarm / after / confirming / the / safety / check / was / complete.","Despite the heavy rain, the alarm system remained fully operational and alerted all staff during the emergency drill.","Despite / the / heavy / rain, / the / alarm / system / remained / fully / operational / and / alerted / all / staff / during / the / emergency / drill."
"56","approximate","adjective","approximatif","The cost is approximately $200.","Le coût est d'environ 200 dollars.","We will arrive at the airport approximately two hours after departure.","Nous arriverons à l'aéroport environ deux heures après le départ.","The meeting duration is approximately thirty minutes.","La durée de la réunion est d'environ trente minutes.","The price is about fifty dollars.","The / price / is / about / fifty / dollars","We expect the project to finish approximately by next Friday on the schedule.","We / expect / the / project / to / finish / approximately / by / next / Friday / on / the / schedule","The final report will be submitted approximately within two weeks after the audit concludes, pending any revisions.","The / final / report / will / be / submitted / approximately / within / two / weeks / after / the / audit / concludes, / pending / any / revisions."
"57","actually","adverb","en fait","Actually, we need to reschedule the meeting.","En fait, nous devons reprogrammer la réunion.","The report was actually completed earlier than expected.","Le rapport a en fait été terminé plus tôt que prévu.","I actually prefer coffee over tea.","Je préfère en fait le café au thé.","We actually will finish the project soon.","We / actually / will / finish / the / project / soon","Actually, the company plans to launch the new product next quarter.","Actually,/ the / company / plans / to / launch / the / new / product / next / quarter","Although the deadline was tight, we actually managed to deliver all components on time and without any issues.","Although / the / deadline / was / tight, / we / actually / managed / to / deliver / all / components / on / time / and / without / any / issues"
"60","adapt","verb","s'adapter","We need to adapt our marketing strategy for the new market.","Nous devons adapter notre stratégie de marketing pour le nouveau marché.","The software can adapt to different operating systems.","Le logiciel peut s’adapter à différents systèmes d’exploitation.","Employees must adapt quickly to changes in company policy.","Les employés doivent rapidement s'adapter aux changements de la politique de l'entreprise.","Adapt your presentation to the audience.","Adapt / your / presentation / to / the / audience.","The team will adapt their workflow after the new regulations are implemented.","The / team / will / adapt / their / workflow / after / the / new / regulations / are / implemented.","In order to maintain competitiveness, companies must continuously adapt their product lines to evolving consumer preferences and technological advancements.","In / order / to / maintain / competitiveness, / companies / must / continuously / adapt / their / product / lines / to / evolving / consumer / preferences / and / technological / advancements."
"62","area","noun","zone","The conference area will be set up with seating and audio equipment.","La zone de conférence sera équipée de sièges et d'équipements audio.","Please keep the parking area clean for all visitors.","Veuillez garder la zone de stationnement propre pour tous les visiteurs.","Our new office area includes a kitchen and lounge.","Notre nouvelle zone de bureau comprend une cuisine et un salon.","The area is large enough.","The / area / is / large / enough","Employees must stay within the designated area during the safety drill.","Employees / must / stay / within / the / designated / area / during / the / safety / drill","The marketing team will analyze customer data from the sales area to improve product placement strategies.","The / marketing / team / will / analyze / customer / data / from / the / sales / area / to / improve / product / placement / strategies"
"61","allow","verb","autoriser","The manager will allow the employee to work remotely.","Le gestionnaire autorisera l'employé à travailler à distance.","We cannot allow any unauthorized access to the system.","Nous ne pouvons pas autoriser tout accès non autorisé au système.","Please allow me a moment to review the documents.","Veuillez m'autoriser un instant pour examiner les documents.","Allow the team to submit reports by Friday.","Allow / the / team / to / submit / reports / by / Friday","The company will allow employees to use their personal devices for work purposes.","The / company / will / allow / employees / to / use / their / personal / devices / for / work / purposes","The firm will allow contractors to work remotely, provided they adhere to strict confidentiality protocols daily.","The / firm / will / allow / contractors / to / work / remotely, / provided / they / adhere / to / strict / confidentiality / protocols / daily"
"59","arbitrate","verb","arbitrer","The company will arbitrate the contract disagreement.","La société arbitrera le différend sur le contrat.","We need a neutral arbitrator to arbitrate this conflict.","Nous avons besoin d'un arbitre neutre pour arbitrer ce conflit.","Arbitration is often faster than litigation for resolving disputes.","L'arbitrage est souvent plus rapide que la procédure judiciaire pour résoudre les différends.","They agreed to arbitrate the issue promptly.","arbitrate / The / promptly. / issue / they / agreed / to","The board decided that an external arbitrator should arbitrate the salary dispute between departments.","dispute / the / arbitrator / external / board / salary / should / between / decided / a / The / arbitration / parties / an / arbitrage / to","Despite initial negotiations, the parties consented to let a qualified arbitrator arbitrate all remaining contractual matters.","matters. / negotiations, / all / parties / remaining / a / qualified / Despite / let / to / arbitrate / contractual / arbitrator / initial / The / consented"
"66","additional","adjective","supplémentaire","We need additional staff for the upcoming conference.","Nous avons besoin de personnel supplémentaire pour la prochaine conférence.","Please provide additional information about your travel itinerary.","Veuillez fournir des informations supplémentaires sur votre itinéraire de voyage.","The company offers additional benefits to employees who work overtime.","L'entreprise offre des avantages supplémentaires aux employés qui travaillent en heures supplémentaires.","She requested additional documents before the meeting.","She / requested / additional / documents / before / the / meeting","The manager will review the proposal and add any additional comments by Friday.","The / manager / will / review / the / proposal / and / add / any / additional / comments / by / Friday","During the audit, auditors identified several discrepancies that required additional evidence to support compliance with regulations.","During / the / audit, / auditors / identified / several / discrepancies / that / required / additional / evidence / to / support / compliance / with / regulations"
"65","argue","verb","débattre","The manager will argue that the new policy is cost-effective.","Le responsable va débattre que la nouvelle politique est rentable.","During the meeting, she argued for a higher budget allocation.","Lors de la réunion, elle a débattu pour une allocation budgétaire plus élevée.","He argued that the project deadline should be extended.","Il a débattu que la date limite du projet devrait être prolongée.","They argue over the best marketing strategy.","strategy / They / over / marketing / best / argue / the","The team will argue that increasing production capacity can improve overall efficiency.","capacity / The / overall / improving / production / will / increasing / argue / team / can / efficiency / that","Despite objections, executives argued that investing in renewable energy will reduce costs and boost brand image.","image / Despite / executives / investing / energy / renewable / will / costs / and / reduce / objections, / argument / that / boost"
"63","adapter","noun","adaptateur","The IT department installed a new network adapter.","Le département informatique a installé un nouvel adaptateur réseau.","Please bring your USB adapter for the presentation.","Veuillez apporter votre adaptateur USB pour la présentation.","We need an audio adapter to connect the speakers.","Nous avons besoin d'un adaptateur audio pour connecter les haut-parleurs.","Use the adapter for the meeting.","Use / the / adapter / for / the / meeting","The project manager requested a wireless adapter to improve connectivity during the conference.","The / project / manager / requested / a / wireless / adapter / to / improve / connectivity / during / the / conference","During the international trade show, we installed several high-speed adapters to ensure seamless data transfer between multiple devices.","During / the / international / trade / show,/ we / installed / several / high-speed / adapters / to / ensure / seamless / data / transfer / between / multiple / devices"
"64","alternative","noun","alternative","We need an alternative solution to the problem.","Nous avons besoin d'une solution alternative au problème.","The company offers several alternatives for remote work.","L'entreprise propose plusieurs alternatives pour le travail à distance.","He suggested an alternative route to avoid traffic.","Il a suggéré une route alternative pour éviter la circulation.","There is a good alternative available.","available. / There / good / alternative / a / is","Employees should consider alternative options before making a final decision.","decision. / Employees / alternative / options / before / consider / final / making / should / a / decision","In case of unforeseen delays, we will provide an alternative schedule to ensure project continuity.","continuity. / In / case / delays, / alternative / ensure / project / schedule / to / we / will / provide / unforeseen"
"68","argument","noun","argument","The manager presented a strong argument for the new marketing strategy.","Le responsable a présenté un argument solide pour la nouvelle stratégie de marketing.","During the meeting, she raised an objection and offered a counterargument.","Lors de la réunion, elle a soulevé une objection et proposé un contre-argument.","He wrote an argument in his report to justify the budget increase.","Il a rédigé un argument dans son rapport pour justifier l'augmentation du budget.","We need a clear argument.","We / need / a / clear / argument","The team will discuss the argument before finalizing the project proposal.","The / team / will / discuss / the / argument / before / finalizing / the / project / proposal","After reviewing the data, the analyst presented a compelling argument to support the proposed cost-saving measures.","After / reviewing / the / data, / the / analyst / presented / a / compelling / argument / to / support / the / proposed / cost-saving / measures"
"69","adequate","adjective","adéquat","The manager said the budget was adequate for the project.","Le gestionnaire a déclaré que le budget était adéquat pour le projet.","We need an adequate amount of data before making decisions.","Nous avons besoin d'une quantité suffisante de données avant de prendre des décisions.","His performance was adequate, but could improve.","Sa performance était adéquate, mais pourrait s'améliorer.","The meeting will be adequately prepared.","prepared / The / adequately / meeting / will / be","We must ensure that the training program is adequate for all new employees.","employees / all / training / for / adequate / program / the / must / We / ensure / new / that / is","The company has determined that the proposed marketing strategy is adequate to meet the quarterly sales targets.","targets / the / quarterly / company / marketing / adequate / strategy / has / The / proposed / is / meet / to / determined / that / sales"
"70","amend","verb","amender","We will amend the contract before signing.","Nous allons modifier le contrat avant de signer.","The company decided to amend its policy on remote work.","La société a décidé d'amender sa politique sur le travail à distance.","Please amend the invoice to reflect the correct amount.","Veuillez corriger la facture pour refléter le montant correct.","The contract will be amended soon.","amended / The / contract / will / be / soon","We need to amend the terms of the agreement before final approval.","approval / We / terms / final / before / agreement / the / need / to / amend / the / of","After reviewing the feedback, the board agreed that the company should amend its annual report to include new sustainability metrics.","metrics / After / board / review / the / company / agree / should / sustainability / annual / report / to / include / new / feedback, / it / the / amended / terms / of"
"71","arrange","verb","organiser","We need to arrange a meeting for next week.","Nous devons organiser une réunion pour la semaine prochaine.","She arranged the documents in alphabetical order.","Elle a organisé les documents par ordre alphabétique.","The company will arrange transportation for the conference attendees.","L'entreprise organisera le transport des participants à la conférence.","They will arrange the schedule tomorrow.","tomorrow / They / schedule / will / arrange / the","Please arrange the seating plan before the event starts at noon.","Please / arrange / the / seating / plan / before / the / event / starts / at / noon","The manager must arrange all logistics, including catering and accommodation, to ensure a smooth conference today.","today / The / manager / must / arrange / all / logistics,/ including / catering / and / accommodation,/ to / ensure / a / smooth / conference"
"67","ambitious","adjective","ambitieux","She is an ambitious student who aims to graduate early.","Elle est une étudiante ambitieuse qui vise à obtenir son diplôme tôt.","The company hired an ambitious manager to lead the new project.","L'entreprise a embauché un gestionnaire ambitieux pour diriger le nouveau projet.","His ambitious plans for expanding into Europe were approved by the board.","Ses projets ambitieux d'expansion en Europe ont été approuvés par le conseil.","She is an ambitious student","She / is / an / ambitious / student","The company hired an ambitious manager to lead the new project","The / company / hired / an / ambitious / manager / to / lead / the / new / project","His ambitious plans for expanding into Europe were approved by the board","His / ambitious / plans / for / expanding / into / Europe / were / approved / by / the / board"
"72","adjust","verb","ajuster","Please adjust the volume on your phone before the meeting.","Veuillez ajuster le volume de votre téléphone avant la réunion.","The manager will adjust the budget to accommodate unexpected expenses.","Le directeur ajustera le budget pour couvrir les dépenses imprévues.","Adjusting the schedule can help reduce overtime costs.","Ajuster l'horaire peut aider à réduire les coûts de surcroît.","Adjust the thermostat before leaving.","Adjust / the / thermostat / before / leaving","Please adjust your seating arrangement to improve customer comfort during the conference.","Please / adjust / your / seating / arrangement / to / improve / customer / comfort / during / the / conference","We need to adjust the project timeline and resource allocation to meet the new client deadline without compromising quality.","We / need / to / adjust / the / project / timeline / and / resource / allocation / to / meet / the / new / client / deadline / without / compromising / quality"
"73","amount","noun","montant","The total amount due will be paid by Friday.","Le montant total dû sera payé d'ici vendredi.","Please confirm the amount of the invoice before signing.","Veuillez confirmer le montant de la facture avant de signer.","We need to calculate the amount for each item.","Nous devons calculer le montant pour chaque article.","The amount is $200 today.","The / amount / is / $200 / today","The total amount of the purchase must be approved by the finance department.","The / total / amount / of / the / purchase / must / be / approved / by / the / finance / department","The final amount, after discounts and taxes, will be reflected in the monthly financial report for next quarter.","The / final / amount,/ after / discounts / and / taxes,/ will / be / reflected / in / the / monthly / financial / report / for / next / quarter"
"74","arrangement","noun","arrangement","The company will provide a seating arrangement for the conference.","La société fournira un aménagement de sièges pour la conférence.","Please review the arrangement of the documents before filing them.","Veuillez examiner l'arrangement des documents avant de les déposer.","Our travel agency offers flexible arrangements for group tours.","Notre agence de voyage propose des arrangements flexibles pour les visites de groupe.","The meeting room has a new arrangement.","The / meeting / room / has / a / new / arrangement","We need to finalize the seating arrangement before the client arrives tomorrow.","We / need / to / finalize / the / seating / arrangement / before / the / client / arrives / tomorrow","The logistics team will coordinate the arrangement of cargo shipments to ensure timely delivery across multiple international ports.","The / logistics / team / will / coordinate / the / arrangement / of / cargo / shipments / to / ensure / timely / delivery / across / multiple / international / ports"
"75","adjustment","noun","ajustement","The adjustment of the budget was approved by management.","L'ajustement du budget a été approuvé par la direction.","We need an adjustment in the shipping schedule to meet deadlines.","Nous avons besoin d'un ajustement dans le planning des expéditions pour respecter les délais.","The software update includes several adjustments for better performance.","La mise à jour logicielle comprend plusieurs ajustements pour une meilleure performance.","Please make the adjustment now.","Please / make / the / adjustment / now.","The manager requested an adjustment to the project timeline after reviewing the report.","The / manager / requested / an / adjustment / to / the / project / timeline / after / reviewing / the / report.","Due to unexpected delays, we must implement a significant adjustment in our production schedule immediately to maintain quality.","Due / to / unexpected / delays, / we / must / implement / a / significant / adjustment / in / our / production / schedule / immediately / to / maintain / quality."
"76","amusing","adjective","amusant","The presentation was amusing and kept the audience engaged.","La présentation était amusante et a retenu l'attention du public.","Her jokes were amusing during the meeting.","Ses blagues étaient amusantes pendant la réunion.","We found the new software interface amusing.","Nous avons trouvé l'interface du nouveau logiciel amusante.","The movie was truly amusing.","The / movie / was / truly / amusing","During the lunch break, we watched a short video that was quite amusing.","During / the / lunch / break,/ we / watched / a / short / video / that / was / quite / amusing","Despite the serious topic, the speaker incorporated an amusing anecdote to lighten the atmosphere and keep everyone attentive.","Despite / the / serious / topic,/ the / speaker / incorporated / an / amusing / anecdote / to / lighten / the / atmosphere / and / keep / everyone / attentive"
"77","assemble","verb","assembler","We need to assemble the parts before shipping.","Nous devons assembler les pièces avant l'expédition.","The team will assemble the presentation slides for tomorrow.","L'équipe assemblera les diapositives de présentation pour demain.","Please assemble the documents into a single PDF.","Veuillez assembler les documents en un seul PDF.","They will assemble the kit quickly.","They / will / assemble / the / kit / quickly","The manager asked us to assemble all the reports by Friday morning.","The / manager / asked / us / to / assemble / all / the / reports / by / Friday / morning","After reviewing the specifications, we must assemble the prototype components before conducting the final quality test.","After / reviewing / the / specifications, / we / must / assemble / the / prototype / components / before / conducting / the / final / quality / test."
"79","analysis","noun","analyse","The market analysis revealed a significant growth potential.","L'analyse du marché a révélé un potentiel de croissance significatif.","She presented the financial analysis to the board members.","Elle a présenté l'analyse financière aux membres du conseil d'administration.","Our data analysis will help improve customer satisfaction.","Notre analyse des données aidera à améliorer la satisfaction client.","The report shows a clear analysis of sales trends","The / report / shows / a / clear / analysis / of / sales / trends","Management requested a detailed analysis of the quarterly performance metrics","Management / requested / a / detailed / analysis / of / the / quarterly / performance / metrics","The senior analyst will conduct an in-depth analysis of market segmentation and consumer behavior patterns across regions","The / senior / analyst / will / conduct / an / in-depth / analysis / of / market / segmentation / and / consumer / behavior / patterns / across / regions"
"78","administration","noun","administration","The company's administration will review the new policy next week.","La direction de l'entreprise examinera la nouvelle politique la semaine prochaine.","She was responsible for the administration of employee benefits.","Elle était responsable de l'administration des avantages sociaux des employés.","The government’s administration has increased funding for education.","L'administration du gouvernement a augmenté le financement pour l'éducation.","The administration will handle the budget.","The / administration / will / handle / the / budget.","Our administration needs to coordinate with the marketing team for the upcoming campaign.","Our / administration / needs / to / coordinate / with / the / marketing / team / for / the / upcoming / campaign.","The administration of the new project requires thorough planning, resource allocation, and continuous monitoring to ensure success.","The / administration / of / the / new / project / requires / thorough / planning, / resource / allocation, / and / continuous / monitoring / to / ensure / success."
"80","assess","verb","évaluer","We will assess the project budget.","Nous allons évaluer le budget du projet.","The manager must assess employee performance before the annual review this year.","Le responsable doit évaluer la performance des employés avant l'évaluation annuelle cette année.","Before approving the new marketing strategy, senior executives will assess market trends and potential ROI in next quarter.","Avant d'approuver la nouvelle stratégie de marketing, les cadres supérieurs vont évaluer les tendances du marché et le potentiel de retour sur investissement au prochain trimestre.","We will assess the project budget.","We / will / assess / the / project / budget","The manager must assess employee performance before the annual review this year.","The / manager / must / assess / employee / performance / before / the / annual / review / this / year","Before approving the new marketing strategy, senior executives will assess market trends and potential ROI in next quarter.","Before / approving / the / new / marketing / strategy, / senior / executives / will / assess / market / trends / and / potential / ROI / in / next / quarter"
"81","admire","verb","admirer","I admire the company's commitment to sustainability.","J'admire l'engagement de l'entreprise envers la durabilité.","She admired the presentation's clarity during the meeting.","Elle a admiré la clarté de la présentation lors de la réunion.","We admire the team's quick response to customer complaints.","Nous admirons la rapidité de réponse de l'équipe aux plaintes des clients.","The manager admired the new project proposal.","The / manager / admired / the / new / project / proposal.","During the quarterly review, we admire how the team handles unexpected challenges.","During / the / quarterly / review, / we / admire / how / the / team / handles / unexpected / challenges.","The CEO will admire the staff's dedication after they successfully completed the international marketing campaign last month.","The / CEO / will / admire / the / staff's / dedication / after / they / successfully / completed / the / international / marketing / campaign / last / month."
"82","analyze","verb","analyser","We need to analyze the market data before making a decision.","Nous devons analyser les données du marché avant de prendre une décision.","The engineer will analyze the test results to identify any defects.","L'ingénieur analysera les résultats des tests pour identifier toute défaillance.","Please analyze the customer feedback and report your findings.","Veuillez analyser les commentaires des clients et rapporter vos conclusions.","The team will analyze the quarterly sales figures.","analyze / the / figures / quarterly / sales / team / will / The","Our project manager asked us to analyze the cost-benefit analysis before proceeding.","proceeding / before / analysis / cost-benefit / to / analyze / manager / project / Our / asked / us / the","During the quarterly review, the finance department will analyze all expense reports to ensure compliance with regulatory standards.","During / the / quarterly / review, / the / finance / department / will / analyze / all / expense / reports / to / ensure / compliance / with / regulatory / standards"
"83","assets","noun","actifs","The company reported a significant increase in its assets last quarter.","La société a déclaré une augmentation significative de ses actifs au dernier trimestre.","Investors are concerned about the decline of the company's assets due to market volatility.","Les investisseurs s'inquiètent de la baisse des actifs de la société en raison de la volatilité du marché.","Our real estate assets will be sold next month to fund new projects.","Nos actifs immobiliers seront vendus le mois prochain pour financer de nouveaux projets.","Assets are essential for business growth.","Assets / are / essential / for / business / growth","The company's assets were evaluated by the auditor before the annual report release.","The / company’s / assets / were / evaluated / by / the / auditor / before / the / annual / report / release","Despite the economic downturn, the company's diverse assets, including real estate and intellectual property, remained resilient.","Despite / the / economic / downturn, / the / company’s / diverse / assets, / including / real / estate / and / intellectual / property, / remained / resilient"
"85","announcement","noun","annonce","The company will make an announcement about the new product launch.","La société fera une annonce concernant le lancement du nouveau produit.","Please read the announcement on the bulletin board before the meeting.","Veuillez lire l'annonce sur le tableau d'affichage avant la réunion.","We received a surprise announcement regarding the schedule change.","Nous avons reçu une annonce surprenante concernant le changement de programme.","Announcement was made by manager.","made / Announcement / by / manager / was","The announcement about the upcoming conference will be posted tomorrow.","conference / The / about / will / posted / upcoming / announcement / tomorrow / the / be","Despite the initial delay, the announcement regarding the merger was finally released to all stakeholders.","delay, / release / Finally / merger / announcing / stakeholders / the / initial / was / Regarding / all / The / to / announcement / Despite"
"84","admit","verb","admettre","I admit I was late.","J'admets que j'étais en retard.","The manager admits that the project will be delayed due to unforeseen issues.","Le responsable admet que le projet sera retardé à cause de problèmes imprévus.","Despite the initial objections, the board finally admits the proposal as a viable solution for expanding market reach.","Malgré les objections initiales, le conseil accepte finalement la proposition comme une solution viable pour étendre la portée du marché.","I admit I was late.","I / was / late. / admit / I","The manager admits that the project will be delayed due to unforeseen issues.","manager / that / project / will / due / unforeseen / issues / The / admits / delayed / to / be / the","Despite the initial objections, the board finally admits the proposal as a viable solution for expanding market reach.","objections, / board / finally / the / as / the / market / expanding / solution / viable / for / The / despite / initial / admits / proposal / reach"
"86","assign","verb","attribuer","The manager will assign the new project to the team.","Le gestionnaire attribuera le nouveau projet à l'équipe.","Please assign the invoice number to the customer record.","Veuillez attribuer le numéro de facture au dossier client.","We need to assign a deadline before the meeting.","Nous devons attribuer une date limite avant la réunion.","Assign the task to the employee.","employee / Assign / the / to / task / the","The supervisor will assign responsibilities to each department during the quarterly review.","responsibilities / the / supervisor / to / during / assign / each / review / department / quarterly / will / the","After reviewing the performance metrics, the director decided to assign additional resources to the marketing team for the upcoming campaign.","campaign / After / the / marketing / to / resources / director / for / the / performance / team / additional / deciding / review / during / assign / the / upcoming / metrics,"
"88","annoying","adjective","ennuyeux","The constant noise from the construction site is annoying.","Le bruit constant provenant du chantier est ennuyant.","Her repetitive questions were quite annoying during the meeting.","Ses questions répétitives étaient assez ennuyantes pendant la réunion.","The slow Wi‑Fi connection in the hotel lobby was annoying to all guests.","La connexion Wi‑Fi lente dans le hall de l'hôtel était ennoyante pour tous les clients.","The loud music is annoying everyone at the party","The / loud / music / is / annoying / everyone / at / the / party","The constant chatter in the office can be very annoying to employees during meetings","The / constant / chatter / in / the / office / can / be / very / annoying / to / employees / during / meetings","Even though the new software update was intended to improve performance, many users found it surprisingly annoying due to frequent pop‑ups and notifications","Even / though / the / new / software / update / was / intended / to / improve / performance,/ many / users / found / it / surprisingly / annoying / due / to / frequent / pop‑ups / and / notifications"
"87","admittance","noun","admission","The company's admittance to the new market was announced last week.","L'admittance de l'entreprise sur le nouveau marché a été annoncée la semaine dernière.","Employees must provide proof of admittance before accessing the secure area.","Les employés doivent fournir une preuve d'admittance avant d'accéder à la zone sécurisée.","Admittance fees are waived for students enrolled in the program.","Les frais d'admittance sont annulés pour les étudiants inscrits au programme.","The company will grant admittance soon.","The / company / will / grant / admittance / soon","All applicants must submit their documents to receive admittance by Friday.","Friday / applicants / must / submit / documents / to / receive / admittance / their / by","The board reviewed the applicant's credentials before deciding on his admittance to the executive program in June.","June / The / board / reviewed / the / applicant's / credentials / before / deciding / on / his / admittance / to / the / executive / program"
"89","assignment","noun","tâche","The manager assigned a new assignment to the team.","Le gestionnaire a attribué une nouvelle tâche à l'équipe.","Please submit your assignment by Friday.","Veuillez soumettre votre devoir avant vendredi.","The assignment requires detailed market analysis.","L'affectation nécessite une analyse de marché détaillée.","Complete the assignment before tomorrow.","Complete / the / assignment / before / tomorrow","The project manager will review each assignment to ensure compliance with standards.","The / project / manager / will / review / each / assignment / to / ensure / compliance / with / standards","During the quarterly meeting, executives discussed how assignments should be distributed to optimize resource allocation across departments.","During / the / quarterly / meeting, / executives / discussed / how / assignments / should / be / distributed / to / optimize / resource / allocation / across / departments"
"90","advance","verb","avancer","We need to advance the project deadline by two weeks.","Nous devons avancer la date limite du projet de deux semaines.","She will advance her career by taking on more responsibilities.","Elle avancera sa carrière en prenant plus de responsabilités.","The company plans to advance its technology through research and development.","L'entreprise prévoit d'avancer sa technologie grâce à la recherche et au développement.","Please advance the payment before the due date.","the / advance / Please / date / payment / before / due / the","To advance the meeting we should schedule it for next Monday afternoon.","advance / To / meeting / the / should / we / schedule / it / for / next / Monday / afternoon","The board decided to advance the merger negotiations by appointing a dedicated task force to expedite the process.","board / The / decided / to / advance / the / merger / negotiations / by / appointing / a / dedicated / task / force / to / expedite / the / process"
"91","annual","noun","annuel","The company released its annual financial report last week.","L'entreprise a publié son rapport financier annuel la semaine dernière.","We will discuss the annual budget during the meeting tomorrow.","Nous discuterons du budget annuel lors de la réunion demain.","Please submit your annual performance evaluation by Friday.","Veuillez soumettre votre évaluation annuelle des performances avant vendredi.","The annual report is due next month.","The / annual / report / is / due / next / month","All employees must review the annual compliance guidelines before signing today.","All / employees / must / review / the / annual / compliance / guidelines / before / signing / today","During the quarterly audit, auditors will examine each department's annual financial statements for accuracy and reporting compliance.","During / the / quarterly / audit, / auditors / will / examine / each / department's / annual / financial / statements / for / accuracy / and / reporting / compliance"
"92","assist","verb","aider","The customer service representative will assist you with your order.","Le représentant du service client vous aidera avec votre commande.","Please let me know if I can assist in preparing the presentation.","Veuillez me faire savoir si je peux aider à préparer la présentation.","Our IT team is ready to assist with any technical issues.","Notre équipe informatique est prête à aider pour tout problème technique.","I will assist you tomorrow.","assist I tomorrow. you will","The manager will assist the new employee with onboarding procedures next week.","assist manager the new employee with onboarding procedures The week next will","During the quarterly review, the senior analyst will assist the marketing team in compiling comprehensive performance reports.","assist senior During the review analyst the marketing team will in compiling comprehensive performance reports the"
"93","advanced","adjective","avancé","The advanced training program will improve employee skills.","Le programme de formation avancé améliorera les compétences des employés.","We need an advanced version of the software for better performance.","Nous avons besoin d'une version avancée du logiciel pour une meilleure performance.","She is considered an advanced learner in language courses.","Elle est considérée comme une étudiante avancée dans les cours de langue.","The advanced course starts next week.","The / advanced / course / starts / next / week.","Our advanced analytics team will present findings tomorrow and recommend improvements to the marketing strategy.","Our / advanced / analytics / team / will / present / findings / tomorrow / and / recommend / improvements / to / the / marketing / strategy.","The advanced prototype, developed by our engineering department, demonstrates significant efficiency gains over the current model.","The / advanced / prototype, / developed / by / our / engineering / department, / demonstrates / significant / efficiency / gains / over / the / current / model."
"95","assistance","noun","assistance","The customer requested assistance with the new software.","Le client a demandé de l'assistance avec le nouveau logiciel.","We will provide assistance during the training session.","Nous fournirons une assistance pendant la séance de formation.","Please let me know if you need any assistance.","Veuillez me faire savoir si vous avez besoin d'une quelconque assistance.","Can I offer assistance today?","Can / I / offer / assistance / today?","The team will give assistance to the client after the meeting.","The / team / will / give / assistance / to / the / client / after / the / meeting.","After reviewing the contract, we will offer comprehensive assistance to ensure all parties understand their obligations.","After / reviewing / the / contract, / we / will / offer / comprehensive / assistance / to / ensure / all / parties / understand / their / obligations."
"94","anticipate","verb","anticiper","We anticipate the meeting tomorrow.","Nous anticipons la réunion demain.","The company anticipates a significant increase in sales next quarter by the end of June.","La société anticipe une augmentation significative des ventes au prochain trimestre d'ici la fin juin.","Customers anticipate that the new product will launch earlier than scheduled, potentially boosting market share.","Les clients anticipent que le nouveau produit sera lancé plus tôt que prévu, ce qui pourrait accroître la part de marché.","We anticipate the meeting tomorrow.","We / anticipate / the / meeting / tomorrow","The company anticipates a significant increase in sales next quarter by the end of June.","The / company / anticipates / a / significant / increase / in / sales / next / quarter / by / the / end / of / June","Customers anticipate that the new product will launch earlier than scheduled, potentially boosting market share.","Customers / anticipate / that / the / new / product / will / launch / earlier / than / scheduled, / potentially / boosting / market / share"
"99","attach","verb","attacher","Please attach the file to your email before sending.","Veuillez attacher le fichier à votre e‑mail avant d’envoyer.","The company will attach a new policy to the employee handbook.","L’entreprise ajoutera une nouvelle politique au manuel des employés.","She attached her résumé to the application form.","Elle a joint son CV au formulaire de candidature.","Attach the document now","Attach / the / document / now","Please attach the invoice to the email and send it today","Please / attach / the / invoice / to / the / email / and / send / it / today","The manager will attach a detailed report to the presentation before the meeting tomorrow morning","The / manager / will / attach / a / detailed / report / to / the / presentation / before / the / meeting / tomorrow / morning"
"96","assume","verb","supposer","I assume the meeting will start at nine.","Je suppose que la réunion commencera à neuf.","We assume that the shipment arrives tomorrow.","Nous supposons que l'expédition arrivera demain.","Assume you have enough time to finish the report.","Supposez que vous avez assez de temps pour terminer le rapport.","Please assume the new policy is effective.","Please / assume / the / new / policy / is / effective.","Assume that all employees will comply with the updated safety regulations by next week.","Assume / that / all / employees / will / comply / with / the / updated / safety / regulations / by / next / week.","If you assume the customer’s request is urgent, prioritize it over other pending tasks to ensure timely delivery.","If / you / assume / the / customer's / request / is / urgent, / prioritize / it / over / other / pending / tasks / to / ensure / timely / delivery."
